name,method,config,weights,fps,resolution,hardware,dataset,mIoU
PSPNet_R-18-D8,pspnet,configs/pspnet/pspnet_r18-d8_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r18-d8_4x4_512x512_80k_potsdam/pspnet_r18-d8_4x4_512x512_80k_potsdam_20211220_125612-7cd046e1.pth,85.1063829787234,"(512,512)",V100,Potsdam,77.09
DeepLabV3+_R-18-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r18-d8_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r18-d8_512x512_80k_potsdam/deeplabv3plus_r18-d8_512x512_80k_potsdam_20211219_020601-75fd5bc3.pth,81.69934640522875,"(512,512)",V100,Potsdam,77.09
FCN_HRNetV2p-W18-Small,hrnet,configs/hrnet/fcn_hr18s_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18s_512x512_80k_potsdam/fcn_hr18s_512x512_80k_potsdam_20211218_205517-ba32af63.pth,35.99712023038157,"(512,512)",V100,Potsdam,77.64
PSPNet_R-50-D8,pspnet,configs/pspnet/pspnet_r50-d8_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r50-d8_4x4_512x512_80k_potsdam/pspnet_r50-d8_4x4_512x512_80k_potsdam_20211219_043541-2dd5fe67.pth,30.211480362537763,"(512,512)",V100,Potsdam,78.12
DeepLabV3+_R-50-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r50-d8_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r50-d8_512x512_80k_potsdam/deeplabv3plus_r50-d8_512x512_80k_potsdam_20211219_031508-7e7a2b24.pth,26.441036488630353,"(512,512)",V100,Potsdam,78.33
PSPNet_R-101-D8,pspnet,configs/pspnet/pspnet_r101-d8_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r101-d8_4x4_512x512_80k_potsdam/pspnet_r101-d8_4x4_512x512_80k_potsdam_20211220_125612-aed036c4.pth,19.398642095053347,"(512,512)",V100,Potsdam,78.62
FCN_HRNetV2p-W18,hrnet,configs/hrnet/fcn_hr18_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18_512x512_80k_potsdam/fcn_hr18_512x512_80k_potsdam_20211218_205517-5d0387ad.pth,19.249278152069298,"(512,512)",V100,Potsdam,78.26
DeepLabV3+_R-101-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r101-d8_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r101-d8_512x512_80k_potsdam/deeplabv3plus_r101-d8_512x512_80k_potsdam_20211219_031508-8b112708.pth,17.559262510974538,"(512,512)",V100,Potsdam,78.7
FCN_HRNetV2p-W48,hrnet,configs/hrnet/fcn_hr48_4xb4-80k_potsdam-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr48_512x512_80k_potsdam/fcn_hr48_512x512_80k_potsdam_20211219_020601-97434c78.pth,16.420361247947454,"(512,512)",V100,Potsdam,78.39
