name,method,config,weights,fps,resolution,hardware,dataset,mIoU
PSPNet_R-18-D8,pspnet,configs/pspnet/pspnet_r18-d8_4xb4-80k_loveda-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r18-d8_512x512_80k_loveda/pspnet_r18-d8_512x512_80k_loveda_20211105_052100-b97697f1.pth,26.867275658248253,"(512,512)",V100,LoveDA,48.62
DeepLabV3+_R-18-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r18-d8_4xb4-80k_loveda-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r18-d8_512x512_80k_loveda/deeplabv3plus_r18-d8_512x512_80k_loveda_20211104_132800-ce0fa0ca.pth,25.568908207619536,"(512,512)",V100,LoveDA,50.28
FCN_HRNetV2p-W18-Small,hrnet,configs/hrnet/fcn_hr18s_4xb4-80k_loveda-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18s_512x512_80k_loveda/fcn_hr18s_512x512_80k_loveda_20211210_203228-60a86a7a.pth,24.86943546381497,"(512,512)",V100,LoveDA,49.28
FCN_HRNetV2p-W18,hrnet,configs/hrnet/fcn_hr18_4xb4-80k_loveda-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18_512x512_80k_loveda/fcn_hr18_512x512_80k_loveda_20211210_203952-93d9c3b3.pth,12.919896640826872,"(512,512)",V100,LoveDA,50.81
FCN_HRNetV2p-W48,hrnet,configs/hrnet/fcn_hr48_4xb4-80k_loveda-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr48_512x512_80k_loveda/fcn_hr48_512x512_80k_loveda_20211211_044756-67072f55.pth,9.609840476648088,"(512,512)",V100,LoveDA,51.42
PSPNet_R-50-D8,pspnet,configs/pspnet/pspnet_r50-d8_4xb4-80k_loveda-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r50-d8_512x512_80k_loveda/pspnet_r50-d8_512x512_80k_loveda_20211104_155728-88610f9f.pth,6.599788806758183,"(512,512)",V100,LoveDA,50.46
DeepLabV3+_R-50-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r50-d8_4xb4-80k_loveda-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r50-d8_512x512_80k_loveda/deeplabv3plus_r50-d8_512x512_80k_loveda_20211105_080442-f0720392.pth,5.999880002399952,"(512,512)",V100,LoveDA,50.99
PSPNet_R-101-D8,pspnet,configs/pspnet/pspnet_r101-d8_4xb4-80k_loveda-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r101-d8_512x512_80k_loveda/pspnet_r101-d8_512x512_80k_loveda_20211104_153212-1c06c6a8.pth,4.580012824035907,"(512,512)",V100,LoveDA,51.86
DeepLabV3+_R-101-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r101-d8_4xb4-80k_loveda-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r101-d8_512x512_80k_loveda/deeplabv3plus_r101-d8_512x512_80k_loveda_20211105_110759-4c1f297e.pth,4.329941545789132,"(512,512)",V100,LoveDA,51.47
