name,method,config,weights,fps,resolution,hardware,dataset,mIoU
FCN_R-18b-D8,fcn,configs/fcn/fcn_r18b-d8_4xb2-80k_cityscapes-769x769.py,https://download.openmmlab.com/mmsegmentation/v0.5/fcn/fcn_r18b-d8_769x769_80k_cityscapes/fcn_r18b-d8_769x769_80k_cityscapes_20201226_004430-32d504e5.pth,6.700167504187605,"(769,769)",V100,Cityscapes,69.66
PSPNet_R-18b-D8,pspnet,configs/pspnet/pspnet_r18b-d8_4xb2-80k_cityscapes-769x769.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r18b-d8_769x769_80k_cityscapes/pspnet_r18b-d8_769x769_80k_cityscapes_20201226_080942-bf98d186.pth,6.409845522722903,"(769,769)",V100,Cityscapes,74.92
FCN_R-18-D8,fcn,configs/fcn/fcn_r18-d8_4xb2-80k_cityscapes-769x769.py,https://download.openmmlab.com/mmsegmentation/v0.5/fcn/fcn_r18-d8_769x769_80k_cityscapes/fcn_r18-d8_769x769_80k_cityscapes_20201225_021451-9739d1b8.pth,6.4,"(769,769)",V100,Cityscapes,70.8
PSPNet_R-18-D8,pspnet,configs/pspnet/pspnet_r18-d8_4xb2-80k_cityscapes-769x769.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r18-d8_769x769_80k_cityscapes/pspnet_r18-d8_769x769_80k_cityscapes_20201225_021458-3deefc62.pth,6.2000124000248,"(769,769)",V100,Cityscapes,75.9
DeepLabV3+_R-18b-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r18b-d8_4xb2-80k_cityscapes-769x769.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r18b-d8_769x769_80k_cityscapes/deeplabv3plus_r18b-d8_769x769_80k_cityscapes_20201226_151312-2c868aff.pth,5.959830740806962,"(769,769)",V100,Cityscapes,76.36
DeepLabV3_R-18b-D8,deeplabv3,configs/deeplabv3/deeplabv3_r18b-d8_4xb2-80k_cityscapes-769x769.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3/deeplabv3_r18b-d8_769x769_80k_cityscapes/deeplabv3_r18b-d8_769x769_80k_cityscapes_20201225_094144-fdc985d9.pth,5.790052689479474,"(769,769)",V100,Cityscapes,75.63
DeepLabV3+_R-18-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r18-d8_4xb2-80k_cityscapes-769x769.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r18-d8_769x769_80k_cityscapes/deeplabv3plus_r18-d8_769x769_80k_cityscapes_20201226_083346-f326e06a.pth,5.739869130983814,"(769,769)",V100,Cityscapes,76.26
DeepLabV3_R-18-D8,deeplabv3,configs/deeplabv3/deeplabv3_r18-d8_4xb2-80k_cityscapes-769x769.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3/deeplabv3_r18-d8_769x769_80k_cityscapes/deeplabv3_r18-d8_769x769_80k_cityscapes_20201225_021506-6452126a.pth,5.55000555000555,"(769,769)",V100,Cityscapes,76.6
FCN_R-50b-D16,fcn,configs/fcn/fcn-d6_r50b-d16_4xb2-80k_cityscapes-769x769.py,https://download.openmmlab.com/mmsegmentation/v0.5/fcn/fcn_d6_r50b-d16_769x769_80k_cityscapes/fcn_d6_r50b-d16_769x769_80k_cityscapes_20210311_131012-d665f231.pth,4.1699678912472375,"(769,769)",V100,Cityscapes,76.86
FCN_R-50-D16,fcn,configs/fcn/fcn-d6_r50-d16_4xb2-40k_cityscapes-769x769.py,https://download.openmmlab.com/mmsegmentation/v0.5/fcn/fcn_d6_r50-d16_769x769_40k_cityscapes/fcn_d6_r50-d16_769x769_40k_cityscapes_20210305_185744-1aab18ed.pth,4.1699678912472375,"(769,769)",V100,Cityscapes,76.82
