name,method,config,weights,fps,resolution,hardware,dataset,mIoU
ICNet_R-18-D8,icnet,configs/icnet/icnet_r18-d8_4xb2-80k_cityscapes-832x832.py,https://download.openmmlab.com/mmsegmentation/v0.5/icnet/icnet_r18-d8_832x832_80k_cityscapes/icnet_r18-d8_832x832_80k_cityscapes_20210925_225521-2e36638d.pth,27.122321670735015,"(832,832)",V100,Cityscapes,68.14
ICNet_R-50-D8,icnet,configs/icnet/icnet_r50-d8_4xb2-80k_cityscapes-832x832.py,https://download.openmmlab.com/mmsegmentation/v0.5/icnet/icnet_r50-d8_832x832_80k_cityscapes/icnet_r50-d8_832x832_80k_cityscapes_20210926_044625-c6407341.pth,20.080321285140563,"(832,832)",V100,Cityscapes,68.91
ICNet_R-101-D8,icnet,configs/icnet/icnet_r101-d8_4xb2-80k_cityscapes-832x832.py,https://download.openmmlab.com/mmsegmentation/v0.5/icnet/icnet_r101-d8_832x832_80k_cityscapes/icnet_r101-d8_832x832_80k_cityscapes_20210926_072447-b52f936e.pth,16.949152542372882,"(832,832)",V100,Cityscapes,70.28
