name,method,config,weights,fps,resolution,hardware,dataset,mIoU
FastSCNN_FastSCNN,fastscnn,configs/fastscnn/fast_scnn_8xb4-160k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/fast_scnn/fast_scnn_lr0.12_8x4_160k_cityscapes/fast_scnn_lr0.12_8x4_160k_cityscapes_20210630_164853-0cec9937.pth,56.4652738565782,"(512,1024)",V100,Cityscapes,70.96
CGNet_M3N21,cgnet,configs/cgnet/cgnet_fcn_4xb8-60k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/cgnet/cgnet_512x1024_60k_cityscapes/cgnet_512x1024_60k_cityscapes_20201101_110254-124ea03b.pth,31.142946122703208,"(512,1024)",V100,Cityscapes,68.27
LRASPP_M-V3s-D8 (scratch),mobilenet_v3,configs/mobilenet_v3/mobilenet-v3-d8-scratch-s_lraspp_4xb4-320k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v3/lraspp_m-v3s-d8_scratch_512x1024_320k_cityscapes/lraspp_m-v3s-d8_scratch_512x1024_320k_cityscapes_20201224_223935-03daeabb.pth,24.49779519843214,"(512,1024)",V100,Cityscapes,62.74
FCN_HRNetV2p-W18-Small,hrnet,configs/hrnet/fcn_hr18s_4xb2-40k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18s_512x1024_40k_cityscapes/fcn_hr18s_512x1024_40k_cityscapes_20200601_014216-93db27d0.pth,23.741690408357076,"(512,1024)",V100,Cityscapes,73.86
STDC_STDC2,stdc,configs/stdc/stdc2_4xb12-80k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/stdc/stdc2_512x1024_80k_cityscapes/stdc2_512x1024_80k_cityscapes_20220222_132015-fb1e3a1a.pth,23.70791844476055,"(512,1024)",V100,Cityscapes,73.15
LRASPP_M-V3s-D8,mobilenet_v3,configs/mobilenet_v3/mobilenet-v3-d8-s_lraspp_4xb4-320k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v3/lraspp_m-v3s-d8_512x1024_320k_cityscapes/lraspp_m-v3s-d8_512x1024_320k_cityscapes_20201224_223935-61565b34.pth,23.64066193853428,"(512,1024)",V100,Cityscapes,64.11
STDC_STDC1,stdc,configs/stdc/stdc1_4xb12-80k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/stdc/stdc1_512x1024_80k_cityscapes/stdc1_512x1024_80k_cityscapes_20220224_073048-74e6920a.pth,23.057412958266085,"(512,1024)",V100,Cityscapes,71.82
FCN_R-18b-D8,fcn,configs/fcn/fcn_r18b-d8_4xb2-80k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/fcn/fcn_r18b-d8_512x1024_80k_cityscapes/fcn_r18b-d8_512x1024_80k_cityscapes_20201225_230143-92c0f445.pth,16.739203213927016,"(512,1024)",V100,Cityscapes,70.24
PSPNet_R-18b-D8,pspnet,configs/pspnet/pspnet_r18b-d8_4xb2-80k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r18b-d8_512x1024_80k_cityscapes/pspnet_r18b-d8_512x1024_80k_cityscapes_20201226_063116-26928a60.pth,16.278691193228063,"(512,1024)",V100,Cityscapes,74.23
PSPNet_R-50b-D32 rsb,pspnet,configs/pspnet/pspnet_r50-d32_rsb_4xb2-adamw-80k_cityscapes-512x1024.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r50-d32_rsb-pretrain_512x1024_adamw_80k_cityscapes/pspnet_r50-d32_rsb-pretrain_512x1024_adamw_80k_cityscapes_20220316_141229-dd9c9610.pth,16.079755587715066,"(512,1024)",V100,Cityscapes,74.09
