name,method,config,weights,fps,resolution,hardware,dataset,mIoU
FCN_R-101-D8,fcn,configs/fcn/fcn_r101-d8_4xb4-40k_pascal-context-480x480.py,https://download.openmmlab.com/mmsegmentation/v0.5/fcn/fcn_r101-d8_480x480_40k_pascal_context/fcn_r101-d8_480x480_40k_pascal_context_20210421_154757-b5e97937.pth,9.930486593843098,"(480,480)",V100,Pascal Context,44.43
PSPNet_R-101-D8,pspnet,configs/pspnet/pspnet_r101-d8_4xb4-40k_pascal-context-480x480.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r101-d8_480x480_40k_pascal_context/pspnet_r101-d8_480x480_40k_pascal_context_20200911_211210-bf0f5d7c.pth,9.679605072113057,"(480,480)",V100,Pascal Context,46.6
DeepLabV3+_R-101-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r50-d8_4xb4-40k_pascal-context-480x480.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r101-d8_480x480_40k_pascal_context/deeplabv3plus_r101-d8_480x480_40k_pascal_context_20200911_165459-d3c8a29e.pth,9.090082719752749,"(480,480)",V100,Pascal Context,47.3
FCN_HRNetV2p-W48,hrnet,configs/hrnet/fcn_hr48_4xb4-40k_pascal-context-480x480.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr48_480x480_40k_pascal_context/fcn_hr48_480x480_40k_pascal_context_20200911_164852-667d00b0.pth,8.859750155045628,"(480,480)",V100,Pascal Context,45.14
DeepLabV3_R-101-D8,deeplabv3,configs/deeplabv3/deeplabv3_r101-d8_4xb4-40k_pascal-context-480x480.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3/deeplabv3_r101-d8_480x480_40k_pascal_context/deeplabv3_r101-d8_480x480_40k_pascal_context_20200911_204118-1aa27336.pth,7.0901871809415775,"(480,480)",V100,Pascal Context,46.55
