name,method,config,weights,fps,resolution,hardware,dataset,mIoU
PSPNet_R-50-D8,pspnet,configs/pspnet/pspnet_r50-d8_4xb4-20k_coco-stuff10k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r50-d8_512x512_4x4_20k_coco-stuff10k/pspnet_r50-d8_512x512_4x4_20k_coco-stuff10k_20210820_203258-b88df27f.pth,20.50020500205002,"(512,512)",V100,COCO-Stuff 10k,35.69
PSPNet_R-101-D8,pspnet,configs/pspnet/pspnet_r101-d8_4xb4-20k_coco-stuff10k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r101-d8_512x512_4x4_20k_coco-stuff10k/pspnet_r101-d8_512x512_4x4_20k_coco-stuff10k_20210820_232135-76aae482.pth,11.1000111000111,"(512,512)",V100,COCO-Stuff 10k,37.26
DeepLabV3_R-50-D8,deeplabv3,configs/deeplabv3/deeplabv3_r50-d8_4xb4-20k_coco-stuff10k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3/deeplabv3_r50-d8_512x512_4x4_20k_coco-stuff10k/deeplabv3_r50-d8_512x512_4x4_20k_coco-stuff10k_20210821_043025-b35f789d.pth,10.800302408467436,"(512,512)",V100,COCO-Stuff 10k,34.66
DeepLabV3_R-101-D8,deeplabv3,configs/deeplabv3/deeplabv3_r101-d8_4xb4-20k_coco-stuff10k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3/deeplabv3_r101-d8_512x512_4x4_20k_coco-stuff10k/deeplabv3_r101-d8_512x512_4x4_20k_coco-stuff10k_20210821_043025-c49752cb.pth,8.700191404210893,"(512,512)",V100,COCO-Stuff 10k,37.3
