name,method,config,weights,fps,resolution,hardware,dataset,mIoU
BiSeNetV1_R-18-D32,bisenetv1,configs/bisenetv1/bisenetv1_r18-d32-in1k-pre_4xb4-160k_coco-stuff164k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv1/bisenetv1_r18-d32_in1k-pre_lr5e-3_4x4_512x512_160k_coco-stuff164k/bisenetv1_r18-d32_in1k-pre_lr5e-3_4x4_512x512_160k_coco-stuff164k_20211023_013100-f700dbf7.pth,74.23904974016332,"(512,512)",V100,COCO-Stuff 164k,28.55
BiSeNetV1_R-50-D32,bisenetv1,configs/bisenetv1/bisenetv1_r50-d32-in1k-pre_4xb4-160k_coco-stuff164k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv1/bisenetv1_r50-d32_in1k-pre_lr5e-3_4x4_512x512_160k_coco-stuff164k/bisenetv1_r50-d32_in1k-pre_lr5e-3_4x4_512x512_160k_coco-stuff164k_20211101_181932-66747911.pth,32.605151613955,"(512,512)",V100,COCO-Stuff 164k,34.88
BiSeNetV1_R-101-D32,bisenetv1,configs/bisenetv1/bisenetv1_r101-d32-in1k-pre_4xb4-160k_coco-stuff164k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/bisenetv1/bisenetv1_r101-d32_in1k-pre_lr5e-3_4x4_512x512_160k_coco-stuff164k/bisenetv1_r101-d32_in1k-pre_lr5e-3_4x4_512x512_160k_coco-stuff164k_20211101_225220-28c8f092.pth,25.252525252525253,"(512,512)",V100,COCO-Stuff 164k,37.38
PSPNet_R-50-D8,pspnet,configs/pspnet/pspnet_r50-d8_4xb4-80k_coco-stuff164k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r50-d8_512x512_4x4_80k_coco-stuff164k/pspnet_r50-d8_512x512_4x4_80k_coco-stuff164k_20210707_152034-0e41b2db.pth,20.50020500205002,"(512,512)",V100,COCO-Stuff 164k,38.8
PSPNet_R-101-D8,pspnet,configs/pspnet/pspnet_r101-d8_4xb4-80k_coco-stuff164k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r101-d8_512x512_4x4_80k_coco-stuff164k/pspnet_r101-d8_512x512_4x4_80k_coco-stuff164k_20210707_152034-7eb41789.pth,11.1000111000111,"(512,512)",V100,COCO-Stuff 164k,40.34
DeepLabV3_R-50-D8,deeplabv3,configs/deeplabv3/deeplabv3_r50-d8_4xb4-80k_coco-stuff164k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3/deeplabv3_r50-d8_512x512_4x4_80k_coco-stuff164k/deeplabv3_r50-d8_512x512_4x4_80k_coco-stuff164k_20210709_163016-88675c24.pth,10.800302408467436,"(512,512)",V100,COCO-Stuff 164k,39.38
DeepLabV3_R-101-D8,deeplabv3,configs/deeplabv3/deeplabv3_r101-d8_4xb4-80k_coco-stuff164k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3/deeplabv3_r101-d8_512x512_4x4_80k_coco-stuff164k/deeplabv3_r101-d8_512x512_4x4_80k_coco-stuff164k_20210709_201252-13600dc2.pth,8.700191404210893,"(512,512)",V100,COCO-Stuff 164k,40.87
