name,method,config,weights,fps,resolution,hardware,dataset,mIoU
FCN_M-V2-D8,mobilenet_v2,configs/mobilenet_v2/mobilenet-v2-d8_fcn_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v2/fcn_m-v2-d8_512x512_160k_ade20k/fcn_m-v2-d8_512x512_160k_ade20k_20200825_214953-c40e1095.pth,64.39150032195751,"(512,512)",V100,ADE20K,19.71
PSPNet_M-V2-D8,mobilenet_v2,configs/mobilenet_v2/mobilenet-v2-d8_pspnet_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v2/pspnet_m-v2-d8_512x512_160k_ade20k/pspnet_m-v2-d8_512x512_160k_ade20k_20200825_214953-f5942f7a.pth,57.70340450086556,"(512,512)",V100,ADE20K,29.68
FPN_R-50,sem_fpn,configs/sem_fpn/fpn_r50_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/sem_fpn/fpn_r50_512x512_160k_ade20k/fpn_r50_512x512_160k_ade20k_20200718_131734-5b5a6ab9.pth,55.77244841048522,"(512,512)",V100,ADE20K,37.49
Segformer_MIT-B0,segformer,configs/segformer/segformer_mit-b0_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b0_512x512_160k_ade20k/segformer_mit-b0_512x512_160k_ade20k_20210726_101530-8ffa8fda.pth,51.30836326321191,"(512,512)",V100,ADE20K,37.41
Segformer_MIT-B1,segformer,configs/segformer/segformer_mit-b1_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b1_512x512_160k_ade20k/segformer_mit-b1_512x512_160k_ade20k_20210726_112106-d70e859d.pth,47.66444232602478,"(512,512)",V100,ADE20K,40.97
DeepLabV3+_M-V2-D8,mobilenet_v2,configs/mobilenet_v2/mobilenet-v2-d8_deeplabv3plus_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v2/deeplabv3plus_m-v2-d8_512x512_160k_ade20k/deeplabv3plus_m-v2-d8_512x512_160k_ade20k_20200825_223255-465a01d4.pth,43.10344827586207,"(512,512)",V100,ADE20K,34.02
MaskFormer_R-50-D32,maskformer,configs/maskformer/maskformer_r50-d32_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/maskformer/maskformer_r50-d32_8xb2-160k_ade20k-512x512/maskformer_r50-d32_8xb2-160k_ade20k-512x512_20221030_182724-cbd39cc1.pth,42.19409282700422,"(512,512)",V100,ADE20K,44.29
FPN_R-101,sem_fpn,configs/sem_fpn/fpn_r101_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/sem_fpn/fpn_r101_512x512_160k_ade20k/fpn_r101_512x512_160k_ade20k_20200718_131734-306b5004.pth,40.58441558441558,"(512,512)",V100,ADE20K,39.35
MaskFormer_Swin-T,maskformer,configs/maskformer/maskformer_swin-t_upernet_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/maskformer/maskformer_swin-t_upernet_8xb2-160k_ade20k-512x512/maskformer_swin-t_upernet_8xb2-160k_ade20k-512x512_20221114_232813-03550716.pth,40.53506282934738,"(512,512)",V100,ADE20K,46.69
DeepLabV3_M-V2-D8,mobilenet_v2,configs/mobilenet_v2/mobilenet-v2-d8_deeplabv3_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/mobilenet_v2/deeplabv3_m-v2-d8_512x512_160k_ade20k/deeplabv3_m-v2-d8_512x512_160k_ade20k_20200825_223255-63986343.pth,39.904229848363926,"(512,512)",V100,ADE20K,34.08
